xyLIT,xyTIME,xySITE,xyOBS,xyOBSN,year_mod1,xyMIM,xyMIMN,year_mod2,xyMIMAllC,xyMIMAllN
ACSAf,0.99,AND,70.8,0.92,0.99,66.4,1.24,0.99,66.4,0.85
ACSAf,1.99,AND,53.5,0.99,1.99,52.8,1.05,1.99,52.8,0.76
ACSAf,3.01,AND,43,0.84,3.01,45.8,0.97,3.01,45.8,0.74
ACSAf,4.02,AND,35.2,0.83,4.02,41.3,0.94,4.02,41.3,0.73
ACSAf,5.02,AND,36.6,0.74,5.02,37.7,0.93,5.02,37.7,0.73
ACSAf,6.01,AND,26.2,0.6,6.01,34.6,0.91,6.01,34.6,0.72
ACSAf,7,AND,30.1,0.66,7,31.9,0.9,7,31.9,0.71
ACSAf,8.04,AND,20.3,0.55,8.04,29.2,0.87,8.04,29.2,0.69
ACSAf,9,AND,21.2,0.5,9,27.1,0.85,9,27.1,0.68
ACSAf,10,AND,20,0.48,10,24.9,0.82,10,24.9,0.65
DRGLf,0.99,AND,51.9,0.7,0.99,55.3,0.67,0.99,55.3,0.47
DRGLf,1.99,AND,43.2,0.74,1.99,39.8,0.45,1.99,39.8,0.32
DRGLf,3.01,AND,28.2,0.49,3.01,33.7,0.36,3.01,33.7,0.28
DRGLf,4.02,AND,25.6,0.44,4.02,30.6,0.33,4.02,30.6,0.26
DRGLf,5.02,AND,21.8,0.27,5.02,28.4,0.32,5.02,28.4,0.25
DRGLf,6.01,AND,13.7,0.22,6.01,26.6,0.31,6.01,26.6,0.24
DRGLf,7,AND,18.9,0.29,7,24.9,0.3,7,24.9,0.24
DRGLf,8.04,AND,12.3,0.16,8.04,23.3,0.28,8.04,23.3,0.23
DRGLf,9,AND,11.6,0.15,9,21.9,0.27,9,21.9,0.22
DRGLf,10,AND,8.25,0.13,10,20.4,0.26,10,20.4,0.21
PIREf,0.99,AND,85.1,0.93,0.99,77.8,1.51,0.99,77.8,1.07
PIREf,1.99,AND,73.5,1.22,1.99,65.5,1.52,1.99,65.5,1.12
