year,PIREf,PIREf_Nfrac,THPLf,THPLf_Nfrac,QUPRf,QUPRf_Nfrac,ACSAf,ACSAf_Nfrac,DRGLf,DRGLf_Nfrac,TRAEf,TRAEf_Nfrac,mean,sd,mean_N,sd_N
0,100,1,100,1,100,1,100,1,100,1,100,1,100,0,100,0
0.32,80.4,0.923934945,67.284,1.088838239,51.879,0.681284705,47.9545,0.860876933,25.57175,0.412855478,47.29733333,1.445054285,53.39776389,18.79035059,90.21407642,35.21267438
0.656666667,70.77166667,0.987856287,59.97775,1.001035902,45.523,0.661833799,45.72525,0.891640266,19.69375,0.310720879,34.67625,1.264973366,46.06127778,18.05291973,85.30100832,32.92194198
0.756666667,67.613,0.887186034,55.719,1.12788756,37.847,0.583373041,37.2425,0.70619753,19.094,0.287247208,20.34233333,1.125331879,39.64297222,19.2068937,78.62038753,32.81621728
1,52.38133333,0.79737855,35.161,0.826490701,33.23166667,0.592589497,24.72525,0.604723586,8.383,0.117444475,22.31125,1.440229734,29.36558333,14.76362637,72.98094238,43.08309364
1.2375,37.49125,0.739486619,29.3245,0.783504962,19.68875,0.357323232,30.4785,0.720854797,2.1795,0.02967241,10.526,0.664251603,21.61475,13.37511388,54.91822705,29.68284563
1.4875,35.08075,0.662143864,27.848,0.7016058,22.01475,0.374078005,34.364,0.783408416,NA,NA,9.9065,0.651882993,25.8428,10.37534362,63.46238156,15.45661632
1.745,32.3995,0.674645874,9.687,0.279741147,10.2275,0.177210088,5.08875,0.137180487,NA,NA,5.4965,0.333422208,12.57985,11.324874,32.04399608,21.29469372
2.025,23.98275,0.548027346,9.228,0.245505728,NA,NA,NA,NA,NA,NA,2.7905,0.180594713,12.00041667,10.86474048,32.47092623,19.61035054
2.2575,25.02375,0.488027666,6.53375,0.160901334,NA,NA,NA,NA,NA,NA,NA,NA,15.77875,13.07440438,32.44645,23.13132477
2.58,18.026,0.578368678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.026,NA,57.8368678,NA
