"Site","MICr","MICK","LITm","LITs","SOMp","SOMc","SOMa","MICrN","MICKN","LITmN","LITsN","SOMpN","SOMcN","SOMaN","InorgN","NminTot","NminNet","Resp"
"ARC",0.0788040489804611,0.0798632870915794,0.40105159740763,1.29226032892016,1.70759442013795,5.24157050595037,2.23322511815177,0.0131340087963625,0.00798632870279469,0.0267367745910905,0.0167898254790898,0.167933530294707,0.339533284274531,0.308664260726873,6.44469009503807e-06,6.44439181487196e-06,1.2886397388415e-06,2.6824307132333e-05
"BNZ",0.0866935271602764,0.21125104827179,0.421492745828536,2.55963978536125,2.73662283201631,13.5565005427474,7.10322140568331,0.0144489203575944,0.0211251049902235,0.0280995167838769,0.0325772343978928,0.279568089679725,0.960873252063558,0.866748897896097,1.00462387151469e-05,1.00420041621429e-05,2.0050131900254e-06,5.70088172822739e-05
"NWT",0.0935159227793537,0.0957080858989084,0.441171798063079,1.37074474259151,5.89437420677424,5.59281999657704,3.66876759345148,0.0155859871913639,0.00957080858967015,0.0294114533036222,0.0178094368017668,0.608396942387287,0.362730883830864,0.506390087484814,9.09569735556327e-06,9.09563569411477e-06,1.81907780966416e-06,3.78610506832656e-05
"HBR",0.216648659182044,0.398026811570563,0.374343360338289,1.30434793690157,6.63869272810231,6.41942908468985,1.54079832921719,0.0361071925560721,0.0398026811653562,0.0249564511030344,0.0153083224135723,0.659371907427167,0.434316565765635,0.195618924821646,2.68216246742023e-05,2.68205224125858e-05,5.36322267322393e-06,0.000133918842475993
"CDR",0.10964987983332,0.11816774131169,0.387798167462507,1.03720200900492,3.20183086392929,4.48211306960795,1.2019405095107,0.01827480988706,0.0118167741594246,0.0258533685305386,0.0134763508354519,0.313150288794927,0.292604886376157,0.164668787322809,1.26608450602682e-05,1.265984589515e-05,2.5311698469354e-06,5.26923047124784e-05
"HFR",0.228302266664241,0.425403993691142,0.348819530917676,1.1562764127414,12.7783289781366,5.77749690211414,1.97330471996043,0.0380498165621016,0.0425403993993329,0.0232547558275069,0.0135703277072838,1.30708046961681,0.391698034891567,0.249874694772609,2.83455806251048e-05,2.83451605126972e-05,5.66869601261342e-06,0.00014154130116422
"AND",0.169051513282469,0.724567313040383,0.234111710830085,1.0511213503741,8.56901004214797,7.96469167879141,1.91147572562617,0.0281609794988323,0.0724567313444902,0.0156085962220199,0.0114028444682424,0.889773463865653,0.603148634248631,0.212361176903294,2.12912115623929e-05,2.12928688099288e-05,4.25989956001448e-06,0.000152106626466961
"SGS",0.0706115374649331,0.0791373134371424,0.209681028124225,0.522090024110996,3.6254017992463,2.36196586530575,0.950562155381666,0.0117577686205602,0.00791373133500454,0.0139820349113899,0.00678814323802372,0.373305311952946,0.154989032642403,0.129451242567353,5.30201451380443e-06,5.29873478358186e-06,1.05712317253832e-06,2.20188753408151e-05
"KBS",0.131833075327929,0.24946021248666,0.320326361631702,1.00580340279067,8.19169756003607,5.10335106050729,1.69381781813983,0.0219721043620007,0.0249460212432947,0.0213551084493227,0.0118041933946618,0.841072974254455,0.346777947626984,0.213867322860982,1.64206253540901e-05,1.64206010222505e-05,3.28410073897848e-06,8.20001953942806e-05
"CWT",0.445229587153759,0.854582433558596,0.29292897676573,0.873976562416918,27.7767711907381,4.49372189652348,1.38787988571586,0.0742042663356509,0.0854582433043051,0.0195286687287655,0.0102570493124738,2.84832580331195,0.305996245617939,0.174768621864996,5.56243920733418e-05,5.56243152482497e-05,1.11248015895763e-05,0.000277774636325105
"KNZ",0.158126674774184,0.175789566085755,0.340422222661086,0.827952287791164,29.4270198663106,3.69124375687685,1.91928191694181,0.0263455323709142,0.0175789566243829,0.0226985104906522,0.0107618411638582,3.15676569460774,0.241957148642293,0.2617057660086,2.02482105052076e-05,2.02400720828375e-05,4.04150367867146e-06,8.41838339075273e-05
"JRN",0.0990814794897125,0.111955358838993,0.257545640872154,0.608269675787318,3.56801051120346,2.76009485803821,0.726707803106069,0.0165129307656196,0.0111955359186637,0.0171699616174232,0.00790274233957294,0.353709734193426,0.181307104123882,0.0988445741498205,1.04669080243986e-05,1.04665894699234e-05,2.09306305040453e-06,4.35641630524968e-05
"SEV",0.088715443069249,0.10107209372733,0.218469338554656,0.507143520128429,3.16664290319336,2.32056289277568,0.624886745426048,0.0147840302772968,0.0101072093757655,0.0145652384083692,0.0065887011383295,0.315450981720753,0.15260227483278,0.0848848653774882,8.41009200700389e-06,8.40956078613923e-06,1.68148718053611e-06,3.49979316574121e-05
"LUQ",0.33040640460395,0.586416044757044,0.220563321800911,0.546957884193344,44.0469360130203,2.79407744178596,0.977925034031061,0.0550536056327301,0.0586416045707101,0.0147062688951583,0.00559373740243405,4.66390428068961,0.186541364696722,0.124353786693205,4.09684491570198e-05,4.09688155346874e-05,8.19405620907159e-06,0.000199742129155381
