Study,Site,Soil C (mg/cm3)*,Soil N (mg/cm3)*,Microbial biomass C (mg/cm3),Microbial biomass N (mg/cm3),SOC,SON,MBC,MBN,MBC as % of soil C,MBN as % of soil N,Soil C:N,Inorganic nitrogen (ug/cm3),Respiration (ug C/cm3*hr),Net N mineralization (ug/cm3*hr)
Cleveland and Liptzin,Grassland,19.6506,1.3293,0.5904,0.0609,1.31004,0.08862,0.03936,0.00406,3.004488413,4.58135861,14.78266757,NA,NA,NA
Cleveland and Liptzin,Grassland,35.8506,2.4906,0.5382,0.0714,2.39004,0.16604,0.03588,0.00476,1.501230105,2.866779089,14.3943628,NA,NA,NA
Cleveland and Liptzin,Grassland,19.4994,1.2831,0.4482,0.0924,1.29996,0.08554,0.02988,0.00616,2.298532263,7.201309329,15.19710077,NA,NA,NA
Cleveland and Liptzin,Grassland,19.8,1.638,0.7776,0.1071,1.32,0.1092,0.05184,0.00714,3.927272727,6.538461538,12.08791209,NA,NA,NA
Cleveland and Liptzin,Grassland,21.9006,1.7871,0.5904,0.1785,1.46004,0.11914,0.03936,0.0119,2.695816553,9.988249119,12.25482625,NA,NA,NA
Cleveland and Liptzin,Forest,88.5006,9.0006,2.4732,0.3276,5.90004,0.60004,0.16488,0.02184,2.794557325,3.63975735,9.832744484,NA,NA,NA
Cleveland and Liptzin,Forest,77.9994,5.9997,1.9404,0.3234,5.19996,0.39998,0.12936,0.02156,2.487711444,5.390269513,13.00055003,NA,NA,NA
Cleveland and Liptzin,Forest,75.0006,5.9997,1.926,0.3423,5.00004,0.39998,0.1284,0.02282,2.567979456,5.705285264,12.50072504,NA,NA,NA
Cleveland and Liptzin,Forest,86.9994,9.0006,1.971,0.3381,5.79996,0.60004,0.1314,0.02254,2.265532866,3.756416239,9.665955603,NA,NA,NA
Cleveland and Liptzin,Forest,58.5,4.5003,1.908,0.3339,3.9,0.30002,0.1272,0.02226,3.261538462,7.419505366,12.99913339,NA,NA,NA
Cleveland and Liptzin,Forest,58.5,4.5003,1.998,0.3318,3.9,0.30002,0.1332,0.02212,3.415384615,7.372841811,12.99913339,NA,NA,NA
Cleveland and Liptzin,Forest,41.7006,3.5994,0.441,0.1764,2.78004,0.23996,0.0294,0.01176,1.05753874,4.900816803,11.58543091,NA,NA,NA
Cleveland and Liptzin,Forest,24.75,9.45,1.2006,0.1176,1.65,0.63,0.08004,0.00784,4.850909091,1.244444444,2.619047619,NA,NA,NA
Cleveland and Liptzin,Forest,27.5994,11.9994,0.9,0.1386,1.83996,0.79996,0.06,0.00924,3.260940455,1.155057753,2.300065003,NA,NA,NA
Cleveland and Liptzin,Forest,22.6494,6.7494,1.0494,0.0714,1.50996,0.44996,0.06996,0.00476,4.633235317,1.057871811,3.355764957,NA,NA,NA
Cleveland and Liptzin,Forest,19.9494,11.55,1.6506,0.1197,1.32996,0.77,0.11004,0.00798,8.273933051,1.036363636,1.727220779,NA,NA,NA
Cleveland and Liptzin,Grassland,114.75,6.9006,2.5344,NA,7.65,0.46004,0.16896,NA,2.208627451,NA,16.62898878,NA,NA,NA
Cleveland and Liptzin,Forest,94.5,5.25,1.4238,NA,6.3,0.35,0.09492,NA,1.506666667,NA,18,NA,NA,NA
Cleveland and Liptzin,Forest,50.9994,4.4541,0.5868,NA,3.39996,0.29694,0.03912,NA,1.150601772,NA,11.4499899,NA,NA,NA
Cleveland and Liptzin,Grassland,117,6.4197,2.1258,NA,7.8,0.42798,0.14172,NA,1.816923077,NA,18.22515071,NA,NA,NA
Cleveland and Liptzin,Forest,99,5.04,1.2114,NA,6.6,0.336,0.08076,NA,1.223636364,NA,19.64285714,NA,NA,NA
Cleveland and Liptzin,Grassland,29.25,1.4994,0.3978,NA,1.95,0.09996,0.02652,NA,1.36,NA,19.50780312,NA,NA,NA
Cleveland and Liptzin,Grassland,58.95,5.6994,0.5526,NA,3.93,0.37996,0.03684,NA,0.93740458,NA,10.34319402,NA,NA,NA
Cleveland and Liptzin,Grassland,195.6006,10.9494,1.8666,NA,13.04004,0.72996,0.12444,NA,0.954291551,NA,17.86404735,NA,NA,NA
Cleveland and Liptzin,Grassland,79.5006,7.0497,0.7488,NA,5.30004,0.46998,0.04992,NA,0.941879684,NA,11.27716073,NA,NA,NA
Cleveland and Liptzin,Grassland,73.4994,4.6494,0.7272,NA,4.89996,0.30996,0.04848,NA,0.989395832,NA,15.80836237,NA,NA,NA
Cleveland and Liptzin,Grassland,37.4994,3.0009,0.3672,NA,2.49996,0.20006,0.02448,NA,0.979215667,NA,12.49605118,NA,NA,NA
Cleveland and Liptzin,Grassland,54,4.9497,0.8244,NA,3.6,0.32998,0.05496,NA,1.526666667,NA,10.90975211,NA,NA,NA
Cleveland and Liptzin,Grassland,43.5006,4.5003,0.8478,NA,2.90004,0.30002,0.05652,NA,1.948938635,NA,9.66615559,NA,NA,NA
Cleveland and Liptzin,Grassland,117,10.0506,1.8378,NA,7.8,0.67004,0.12252,NA,1.570769231,NA,11.64109605,NA,NA,NA
Cleveland and Liptzin,Grassland,75.0006,7.2009,1.2816,NA,5.00004,0.48006,0.08544,NA,1.70878633,NA,10.41544807,NA,NA,NA
Cleveland and Liptzin,Grassland,59.9994,5.6994,1.2078,NA,3.99996,0.37996,0.08052,NA,2.01302013,NA,10.52731867,NA,NA,NA
Cleveland and Liptzin,Grassland,133.5006,9.3009,1.0098,NA,8.90004,0.62006,0.06732,NA,0.756401095,NA,14.35351418,NA,NA,NA
Cleveland and Liptzin,Grassland,82.4994,6.6003,0.8244,NA,5.49996,0.44002,0.05496,NA,0.999279995,NA,12.49934094,NA,NA,NA
Cleveland and Liptzin,Grassland,139.5,12.7491,1.2798,NA,9.3,0.84994,0.08532,NA,0.917419355,NA,10.94194884,NA,NA,NA
Cleveland and Liptzin,Grassland,100.4994,10.5,0.8856,NA,6.69996,0.7,0.05904,NA,0.881199291,NA,9.571371429,NA,NA,NA
Cleveland and Liptzin,Grassland,11.1006,0.945,0.2484,NA,0.74004,0.063,0.01656,NA,2.23771688,NA,11.74666667,NA,NA,NA
Cleveland and Liptzin,Forest,8.6994,0.7791,0.1404,NA,0.57996,0.05194,0.00936,NA,1.613904407,NA,11.16596072,NA,NA,NA
Cleveland and Liptzin,Forest,16.5006,1.1403,0.279,NA,1.10004,0.07602,0.0186,NA,1.690847606,NA,14.47040253,NA,NA,NA
Cleveland and Liptzin,Forest,5.9994,0.8253,0.198,NA,0.39996,0.05502,0.0132,NA,3.300330033,NA,7.269356598,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,8.8506,0.6741,NA,NA,0.59004,0.04494,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,97.5006,9.0006,1.4274,0.3759,6.50004,0.60004,0.09516,0.02506,1.463990991,4.176388241,10.83267782,NA,NA,NA
Cleveland and Liptzin,Forest,97.5006,9.0006,2.9502,0.4851,6.50004,0.60004,0.19668,0.03234,3.025827533,5.389640691,10.83267782,NA,NA,NA
Cleveland and Liptzin,Forest,102.0006,9.0006,1.4274,0.3465,6.80004,0.60004,0.09516,0.0231,1.399403533,3.84974335,11.33264449,NA,NA,NA
Cleveland and Liptzin,Forest,102.0006,9.0006,1.9602,0.3318,6.80004,0.60004,0.13068,0.02212,1.921753401,3.686420905,11.33264449,NA,NA,NA
Cleveland and Liptzin,Forest,66.0006,8.0997,1.2474,0.1239,4.40004,0.53998,0.08316,0.00826,1.889982818,1.529686285,8.148524019,NA,NA,NA
Cleveland and Liptzin,Forest,64.4994,7.4991,0.801,0.0714,4.29996,0.49994,0.0534,0.00476,1.241872017,0.952114254,8.600952114,NA,NA,NA
Cleveland and Liptzin,Grassland,352.4994,24.7506,2.25,0.3591,23.49996,1.65004,0.15,0.02394,0.638298959,1.450873918,14.24205474,NA,NA,NA
Cleveland and Liptzin,Grassland,391.5,27.7494,4.1994,0.6153,26.1,1.84996,0.27996,0.04102,1.072643678,2.21734524,14.10841315,NA,NA,NA
Cleveland and Liptzin,Grassland,280.4994,20.2503,2.5506,0.315,18.69996,1.35002,0.17004,0.021,0.909306758,1.555532511,13.85161701,NA,NA,NA
Cleveland and Liptzin,Grassland,352.4994,24.7506,4.1994,0.7203,23.49996,1.65004,0.27996,0.04802,1.191321177,2.910232479,14.24205474,NA,NA,NA
Cleveland and Liptzin,Grassland,391.5,27.7494,5.2506,1.3944,26.1,1.84996,0.35004,0.09296,1.341149425,5.024973513,14.10841315,NA,NA,NA
Cleveland and Liptzin,Grassland,280.4994,20.2503,2.25,0.315,18.69996,1.35002,0.15,0.021,0.802140753,1.555532511,13.85161701,NA,NA,NA
Cleveland and Liptzin,Grassland,352.4994,24.7506,2.1006,0.2856,23.49996,1.65004,0.14004,0.01904,0.595915908,1.15391142,14.24205474,NA,NA,NA
Cleveland and Liptzin,Grassland,391.5,27.7494,2.25,0.4053,26.1,1.84996,0.15,0.02702,0.574712644,1.46057212,14.10841315,NA,NA,NA
Cleveland and Liptzin,Grassland,280.4994,20.2503,1.9494,0.1953,18.69996,1.35002,0.12996,0.01302,0.694974749,0.964430157,13.85161701,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,1.3572,0.1638,NA,NA,0.09048,0.01092,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,34.2,2.1,20.8494,2.1,2.28,0.14,1.38996,0.14,60.96315789,100,16.28571429,NA,NA,NA
Cleveland and Liptzin,Other,28.9494,2.1,27,2.1,1.92996,0.14,1.8,0.14,93.26618168,100,13.78542857,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,1.0479,NA,NA,NA,0.06986,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Grassland,171,11.55,2.808,0.399,11.4,0.77,0.1872,0.0266,1.642105263,3.454545455,14.80519481,NA,NA,NA
Cleveland and Liptzin,Grassland,55.8,4.2,0.702,0.0735,3.72,0.28,0.0468,0.0049,1.258064516,1.75,13.28571429,NA,NA,NA
Cleveland and Liptzin,Grassland,NA,NA,0.0882,NA,NA,NA,0.00588,NA,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,40.5,2.4003,3.2994,0.8631,2.7,0.16002,0.21996,0.05754,8.146666667,35.95800525,16.87289089,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,3.9006,0.9156,NA,NA,0.26004,0.06104,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,3.15,0.7875,NA,NA,0.21,0.0525,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,2.3994,0.6825,NA,NA,0.15996,0.0455,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,54,5.9997,0.5004,0.0861,3.6,0.39998,0.03336,0.00574,0.926666667,1.435071754,9.000450023,NA,NA,NA
Cleveland and Liptzin,Forest,81,7.4991,1.0224,0.1344,5.4,0.49994,0.06816,0.00896,1.262222222,1.792215066,10.80129616,NA,NA,NA
Cleveland and Liptzin,Forest,93.0006,9.0006,1.6326,0.1869,6.20004,0.60004,0.10884,0.01246,1.755472545,2.076528231,10.33271115,NA,NA,NA
Cleveland and Liptzin,Grassland,64.4994,3.8997,1.8054,0.2121,4.29996,0.25998,0.12036,0.01414,2.799095806,5.438879914,16.53957997,NA,NA,NA
Cleveland and Liptzin,Grassland,17.1,0.9114,NA,NA,1.14,0.06076,NA,NA,NA,NA,18.76234365,NA,NA,NA
Cleveland and Liptzin,Other,39.0006,2.52,0.4824,0.0756,2.60004,0.168,0.03216,0.00504,1.236904048,3,15.47642857,NA,NA,NA
Cleveland and Liptzin,Grassland,127.4994,5.6994,4.4406,0.6174,8.49996,0.37996,0.29604,0.04116,3.482839919,10.83271923,22.3706706,NA,NA,NA
Cleveland and Liptzin,Grassland,121.5,5.9997,4.365,0.5439,8.1,0.39998,0.291,0.03626,3.592592593,9.065453273,20.25101255,NA,NA,NA
Cleveland and Liptzin,Forest,174.0006,8.4,2.3994,0.3633,11.60004,0.56,0.15996,0.02422,1.378960762,4.325,20.71435714,NA,NA,NA
Cleveland and Liptzin,Grassland,122.9994,6.1509,1.287,0.147,8.19996,0.41006,0.0858,0.0098,1.046346568,2.389894162,19.99697605,NA,NA,NA
Cleveland and Liptzin,Forest,165.0006,10.3509,2.3994,0.2961,11.00004,0.69006,0.15996,0.01974,1.45417653,2.860620816,15.94070081,NA,NA,NA
Cleveland and Liptzin,Forest,174.0006,8.4,16.4556,2.0559,11.60004,0.56,1.09704,0.13706,9.457208768,24.475,20.71435714,NA,NA,NA
Cleveland and Liptzin,Forest,165.0006,10.3509,17.0406,2.6544,11.00004,0.69006,1.13604,0.17696,10.32759881,25.64414689,15.94070081,NA,NA,NA
Cleveland and Liptzin,Forest,174.0006,8.4,6.84,1.05,11.60004,0.56,0.456,0.07,3.931020928,12.5,20.71435714,NA,NA,NA
Cleveland and Liptzin,Forest,165.0006,10.3509,4.8744,0.6804,11.00004,0.69006,0.32496,0.04536,2.954171076,6.573341449,15.94070081,NA,NA,NA
Cleveland and Liptzin,Forest,36.7506,2.5956,0.3834,0.0462,2.45004,0.17304,0.02556,0.00308,1.043248273,1.779935275,14.15880721,NA,NA,NA
Cleveland and Liptzin,Forest,17.1,1.1403,0.5202,0.0651,1.14,0.07602,0.03468,0.00434,3.042105263,5.709023941,14.99605367,NA,NA,NA
Cleveland and Liptzin,Forest,703.4994,10.0044,20.25,NA,46.89996,0.66696,1.35,NA,2.878467274,NA,70.31899964,NA,NA,NA
Cleveland and Liptzin,Grassland,30.0006,2.31,0.747,0.147,2.00004,0.154,0.0498,0.0098,2.489950201,6.363636364,12.98727273,NA,NA,NA
Cleveland and Liptzin,Grassland,22.5,1.8291,0.5508,0.1134,1.5,0.12194,0.03672,0.00756,2.448,6.199770379,12.3011317,NA,NA,NA
Cleveland and Liptzin,Grassland,24.4494,2.0853,0.5994,0.1512,1.62996,0.13902,0.03996,0.01008,2.451593904,7.250755287,11.72464394,NA,NA,NA
Cleveland and Liptzin,Forest,86.9994,5.8506,NA,0.0756,5.79996,0.39004,NA,0.00504,NA,1.292175162,14.87016716,NA,NA,NA
Cleveland and Liptzin,Forest,64.4994,4.0509,NA,0.0462,4.29996,0.27006,NA,0.00308,NA,1.140487299,15.9222395,NA,NA,NA
Cleveland and Liptzin,Forest,79.5006,3.2991,NA,0.1071,5.30004,0.21994,NA,0.00714,NA,3.246339911,24.097663,NA,NA,NA
Cleveland and Liptzin,Forest,86.9994,5.8506,NA,0.5418,5.79996,0.39004,NA,0.03612,NA,9.260588658,14.87016716,NA,NA,NA
Cleveland and Liptzin,Forest,64.4994,4.0509,NA,0.6069,4.29996,0.27006,NA,0.04046,NA,14.98185588,15.9222395,NA,NA,NA
Cleveland and Liptzin,Forest,79.5006,3.2991,NA,0.5796,5.30004,0.21994,NA,0.03864,NA,17.56842775,24.097663,NA,NA,NA
Cleveland and Liptzin,Forest,86.9994,5.8506,NA,0.6951,5.79996,0.39004,NA,0.04634,NA,11.88083274,14.87016716,NA,NA,NA
Cleveland and Liptzin,Forest,64.4994,4.0509,NA,0.4557,4.29996,0.27006,NA,0.03038,NA,11.249352,15.9222395,NA,NA,NA
Cleveland and Liptzin,Forest,79.5006,3.2991,NA,1.1298,5.30004,0.21994,NA,0.07532,NA,34.24570337,24.097663,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,1.9908,0.2814,NA,NA,0.13272,0.01876,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Other,NA,NA,NA,0.0399,NA,NA,NA,0.00266,NA,NA,NA,NA,NA,NA
